fetchedAtUTC,LastUpdatedTime,location_address,location_name,location_longtitude,location_latitude,location_postalCode,location_locationId,location_status,location_status_desc,cp_status,cp_status_desc,cp_operatingHours,cp_operator,cp_position,cp_name,cp_id,plug_plugType,plug_powerRating,plug_chargingSpeed,plug_current,plug_price,plug_priceType,ev_id,evCpId,ev_status,ev_status_desc
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,257 YISHUN RING ROAD SINGAPORE 760257,BLK 243/257 YISHUN RING ROAD/AVENUE 9 YISHUN SUNSHINE,103.841161,1.435063,760257,,,Unknown/Not Provided,0,Occupied,,COMFORTDELGRO ENGIE PTE. LTD.,L1 467,BLK 243/257 YISHUN RING ROAD/AVENUE 9 YISHUN SUNSHINE,,Type 2,7,,AC,0.6750,kWh,,R124586B-001,0,Occupied
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,718A WOODLANDS AVENUE 6 SINGAPORE 731718,BLK 718A WOODLANDS AVENUE 6 KAMPUNG GREEN,103.800522,1.441423,731718,,,Unknown/Not Provided,1,Available,,COMFORTDELGRO ENGIE PTE. LTD.,L3 156,BLK 718A WOODLANDS AVENUE 6 KAMPUNG GREEN,,Type 2,22,,AC,0.6750,kWh,,R103427G-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,718A WOODLANDS AVENUE 6 SINGAPORE 731718,BLK 718A WOODLANDS AVENUE 6 KAMPUNG GREEN,103.800522,1.441423,731718,,,Unknown/Not Provided,0,Occupied,,COMFORTDELGRO ENGIE PTE. LTD.,L3 157,BLK 718A WOODLANDS AVENUE 6 KAMPUNG GREEN,,Type 2,22,,AC,0.6750,kWh,,R103428R-001,0,Occupied
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,718A WOODLANDS AVENUE 6 SINGAPORE 731718,BLK 718A WOODLANDS AVENUE 6 KAMPUNG GREEN,103.800522,1.441423,731718,,,Unknown/Not Provided,1,Available,,COMFORTDELGRO ENGIE PTE. LTD.,L3 155,BLK 718A WOODLANDS AVENUE 6 KAMPUNG GREEN,,Type 2,22,,AC,0.6750,kWh,,R103426C-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,101A YISHUN AVENUE 5 SINGAPORE 761101,BLK 101/102 YISHUN AVENUE 5,103.828036,1.430845,761101,,,Unknown/Not Provided,1,Available,,SHELL SINGAPORE PTE. LTD.,L1 72,BLK 101/102 YISHUN AVENUE 5,,Type 2,7,,AC,0.6700,kWh,,R113503B-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,101A YISHUN AVENUE 5 SINGAPORE 761101,BLK 101/102 YISHUN AVENUE 5,103.828036,1.430845,761101,,,Unknown/Not Provided,1,Available,,SHELL SINGAPORE PTE. LTD.,L2 71,BLK 101/102 YISHUN AVENUE 5,,Type 2,7,,AC,0.6700,kWh,,R113502K-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,101A YISHUN AVENUE 5 SINGAPORE 761101,BLK 101/102 YISHUN AVENUE 5,103.828036,1.430845,761101,,,Unknown/Not Provided,1,Available,,SHELL SINGAPORE PTE. LTD.,L1 73,BLK 101/102 YISHUN AVENUE 5,,Type 2,7,,AC,0.6700,kWh,,R113504F-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,1 HOUGANG STREET 91 SINGAPORE 538692,HOUGANG 1,103.879484,1.375615,538692,,,Unknown/Not Provided,1,Available,,SP MOBILITY PTE. LTD.,B1 187,HOUGANG 1,,Type 2,22,,AC,0.7412,kWh,,R114857G-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,1 HOUGANG STREET 91 SINGAPORE 538692,HOUGANG 1,103.879484,1.375615,538692,,,Unknown/Not Provided,1,Available,,SP MOBILITY PTE. LTD.,B1 184 & 185,HOUGANG 1,,Combo 2,100,,DC,0.8284,kWh,,R114855Z-002,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,1 HOUGANG STREET 91 SINGAPORE 538692,HOUGANG 1,103.879484,1.375615,538692,,,Unknown/Not Provided,1,Available,,SP MOBILITY PTE. LTD.,B1 184 & 185,HOUGANG 1,,Combo 2,100,,DC,0.8284,kWh,,R114855Z-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,1 HOUGANG STREET 91 SINGAPORE 538692,HOUGANG 1,103.879484,1.375615,538692,,,Unknown/Not Provided,1,Available,,SP MOBILITY PTE. LTD.,B1 186,HOUGANG 1,,Type 2,22,,AC,0.7412,kWh,,R114856C-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,922 TAMPINES STREET 91 SINGAPORE 520922,BLK 921-941 TAMPINES STREET 91 TAMPINES PALMSPRING,103.94049,1.345685,520922,,,Unknown/Not Provided,1,Available,,SP MOBILITY PTE. LTD.,L1 630A,BLK 921-941 TAMPINES STREET 91 TAMPINES PALMSPRING,,Type 2,7.4,,AC,0.6758,kWh,,R115440G-001,1,Available
2026-02-17T03:44:42+00:00,2026-02-17 11:40:00,922 TAMPINES STREET 91 SINGAPORE 520922,BLK 921-941 TAMPINES STREET 91 TAMPINES PALMSPRING,103.94049,1.345685,520922,,,Unknown/Not Provided,1,Available,,SP MOBILITY PTE. LTD.,L1 628,BLK 921-941 TAMPINES STREET 91 TAMPINES PALMSPRING,,Type 2,7.4,,AC,0.6758,kWh,,R115437G-001,1,Available
